Subtribe,Species Name,Authority,Synonymous,Chromosome number (2n),Chromosome number (n),Chromosome Number Reference,Genome Size (1C (pg)),Genome Size Reference
Oncidiinae Benth.,Comparettia macroplectron ,Rchb. & Triana,,56,NA,Hamatani et al. (2004),NA,
Oncidiinae Benth.,Comparettia falcata ,Poepp. & Endl.,Comparettia cryptocera C.Morren; Comparettia erecta Schltr.; Comparettia falcata f. alba Pupulin; Comparettia falcata var. falcata; Comparettia rosea Lindl.; Comparettia venezuelana Schltr.; Ionopsis orchioides Kraenzl.; Orchis pauciflora Sessé & Moc.,42,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Comparettia speciosa,Rchb.,,42,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Genus Cuitlauzina La Llave & Lex. (7 species),,,,,,,
Oncidiinae Benth.,Cuitlauzina candida,(Lindl.) Dressler & N. H. Williams,Oncidium candidum Lindl.; Palumbina candida (Lindl.) Rchb.f. ,44,NA,Hamatani et al. (2004),NA,
Oncidiinae Benth.,Cuitlauzina pendula ,Lex.,Cuitlauzina pendula f. rosella (Lem.) O.Gruss & M.Wolff; Lichterveldia lindleyi Lem.; Odontoglossum citrosmum Lindl.; Odontoglossum citrosmum var. rosellum Lem.; Odontoglossum pendulum (Lex.) Bateman; Oncidium citrosmum (Lindl.) Beer; Oncidium galeottianum Drapiez ,44,NA,Charanasri & Kamemoto (1975),NA,
Oncidiinae Benth.,Cuitlauzina pendula ,Lex.,Cuitlauzina pendula f. rosella (Lem.) O.Gruss & M.Wolff; Lichterveldia lindleyi Lem.; Odontoglossum citrosmum Lindl.; Odontoglossum citrosmum var. rosellum Lem.; Odontoglossum pendulum (Lex.) Bateman; Oncidium citrosmum (Lindl.) Beer; Oncidium galeottianum Drapiez ,44,NA,Chardard (1963),NA,
Oncidiinae Benth.,Cuitlauzina pendula ,Lex.,Cuitlauzina pendula f. rosella (Lem.) O.Gruss & M.Wolff; Lichterveldia lindleyi Lem.; Odontoglossum citrosmum Lindl.; Odontoglossum citrosmum var. rosellum Lem.; Odontoglossum pendulum (Lex.) Bateman; Oncidium citrosmum (Lindl.) Beer; Oncidium galeottianum Drapiez ,44,NA,Dodson (1958),NA,
Oncidiinae Benth.,Cuitlauzina pendula ,Lex.,Cuitlauzina pendula f. rosella (Lem.) O.Gruss & M.Wolff; Lichterveldia lindleyi Lem.; Odontoglossum citrosmum Lindl.; Odontoglossum citrosmum var. rosellum Lem.; Odontoglossum pendulum (Lex.) Bateman; Oncidium citrosmum (Lindl.) Beer; Oncidium galeottianum Drapiez ,44-48,NA,Chardard (1963),NA,
Oncidiinae Benth.,Cuitlauzina pendula ,Lex.,Cuitlauzina pendula f. rosella (Lem.) O.Gruss & M.Wolff; Lichterveldia lindleyi Lem.; Odontoglossum citrosmum Lindl.; Odontoglossum citrosmum var. rosellum Lem.; Odontoglossum pendulum (Lex.) Bateman; Oncidium citrosmum (Lindl.) Beer; Oncidium galeottianum Drapiez ,50-60,NA,Hoffmann (1930),NA,
Oncidiinae Benth.,Genus Erycina Lindl. (7 species),,,,,,,
Oncidiinae Benth.,Erycina hyalinobulbon,(Lex.) N.H.Williams & M.W.Chase,Erycina diaphana (Rchb.f.) Schltr.; Leochilus diaphanus (Rchb.f.) Schltr.; Leochilus hyalinobulbon (Lex.) Schltr.; Oncidium diaphanum Rchb.f.; Oncidium hyalinobulbon Lex. ,56,NA,Sinotô (1969b),1.93,Chase et al. (2005)
Oncidiinae Benth.,Erycina pusilla ,(L.) N.H.Williams & M.W.Chase,Cymbidium pusillum (L.) Sw.; Epidendrum pusillum L.; Epidendrum ventilabrum Vell.; Erycina allemanii (Barb.Rodr.) N.H.Williams & M.W.Chase; Oncidium allemanii Barb.Rodr.; Oncidium iridifolium Kunth; Oncidium pusillum (L.) Rchb.f.; Oncidium pusillum var. megalanthum Schltr.; Psygmorchis allemanii (Barb.Rodr.) Garay & Stacy; Psygmorchis pusilla (L.) Dodson & Dressler; Tolumnia pusilla (L.) Hoehne,10,NA,Sinotô (1969a),NA,
Oncidiinae Benth.,Erycina pusilla ,(L.) N.H.Williams & M.W.Chase,Cymbidium pusillum (L.) Sw.; Epidendrum pusillum L.; Epidendrum ventilabrum Vell.; Erycina allemanii (Barb.Rodr.) N.H.Williams & M.W.Chase; Oncidium allemanii Barb.Rodr.; Oncidium iridifolium Kunth; Oncidium pusillum (L.) Rchb.f.; Oncidium pusillum var. megalanthum Schltr.; Psygmorchis allemanii (Barb.Rodr.) Garay & Stacy; Psygmorchis pusilla (L.) Dodson & Dressler; Tolumnia pusilla (L.) Hoehne,12,NA,Félix & Guerra (1999),1.50,Chase et al. (2005)
Oncidiinae Benth.,Genus Gomesa R. Br. (124 species),,,,,,,
Oncidiinae Benth.,Gomesa imperatoris-maximiliani,(Rchb.f.) M.W.Chase & N.H.Williams,Anettea crispa (Lodd. ex Lindl.) Szlach. & Mytnik; Anettea imperatoris-maximiliani (Rchb.f.) Szlach. & Mytnik; Brasilidium crispum (Lodd. ex Lindl.) Campacci; Oncidium crispum Lodd. ex Lindl.; Oncidium crispum var. aureum auct.; Oncidium crispum var. flabellulatum Stein; Oncidium crispum var. grandiflorum auct.; Oncidium crispum var. limbatum Cogn.; Oncidium crispum var. lionetianum Cogn.; Oncidium crispum var. ochraceum Rchb.f.; Oncidium crispum var. olivaceum Rchb.f.; Oncidium crispum var. rodriguesii Cogn.; Oncidium crispum var. sublaeve Rchb.f.; Oncidium imperatoris-maximiliani Rchb.f. ,NA,NA,,1.93,Chase et al. (2005)
Oncidiinae Benth.,Gomesa marshalliana,(Rchb.f.) M.W.Chase & N.H.Williams,"Anettea marshalliana (Rchb.f.) Szlach. & Mytnik; Brasilidium marshallianum (Rchb.f.) Campacci, Oncidium marshallianum Rchb.f. ",56,NA,Charanasri & Kamemoto (1975),1.93,Chase et al. (2005)
Oncidiinae Benth.,Gomesa echinata ,(B. Rodr.) M. W. Chase & N. H. Williams,Baptistonia echinata Barb.Rodr.; Epidendrum tetrapetalum Vell.; Oncidium brunleesianum Rchb.f.; Oncidium echinatum (Barb.Rodr.) Cogn.; Oncidium echinatum var. brunleesianum (Rchb.f.) Cogn.; Oncidium vellozeanum Pabst ,56,NA,Hamatani et al. (2004),NA,
Oncidiinae Benth.,Gomesa recurva ,R. Br.,Epidendrum inflexum Vell.; Gomesa densiflora Hoffmanns.; Odontoglossum recurvum (R.Br.) Rchb.f.; Rodriguezia recurva (R.Br.) Lindl. ,56,NA,Sinotô (1969b),NA,
Oncidiinae Benth.,Gomesa varicosa,(Lindl.) M. W. Chase & N. H. Williams,Ampliglossum varicosum (Lindl.) Campacci; Coppensia varicosa (Lindl.) Campacci; Oncidium euxanthinum Rchb.f.; Oncidium geraense Barb.Rodr.; Oncidium lunaeanum auct.; Oncidium rogersii Bateman; Oncidium varicosum Lindl.; Oncidium varicosum var. charlesworthii auct.; Oncidium varicosum var. concolor Cogn.; Oncidium varicosum var. lindenii auct.; Oncidium varicosum var. rogersii (Bateman) Rchb.f.; Oncidium varicosum var. southorangense Grey; Oncidium varicosum var. vexillarium Rchb.f. ex Kraenzl.; Oncidium vexillarium (Rchb.f. ex Kraenzl.) Königer; Oncidium vexillarium Rchb. f. ,56,NA,Chardard (1963),NA,
Oncidiinae Benth.,Gomesa varicosa,(Lindl.) M. W. Chase & N. H. Williams,Ampliglossum varicosum (Lindl.) Campacci; Coppensia varicosa (Lindl.) Campacci; Oncidium euxanthinum Rchb.f.; Oncidium geraense Barb.Rodr.; Oncidium lunaeanum auct.; Oncidium rogersii Bateman; Oncidium varicosum Lindl.; Oncidium varicosum var. charlesworthii auct.; Oncidium varicosum var. concolor Cogn.; Oncidium varicosum var. lindenii auct.; Oncidium varicosum var. rogersii (Bateman) Rchb.f.; Oncidium varicosum var. southorangense Grey; Oncidium varicosum var. vexillarium Rchb.f. ex Kraenzl.; Oncidium vexillarium (Rchb.f. ex Kraenzl.) Königer; Oncidium vexillarium Rchb. f. ,56,NA,Dodson (1958),NA,
Oncidiinae Benth.,Gomesa varicosa,(Lindl.) M. W. Chase & N. H. Williams,Ampliglossum varicosum (Lindl.) Campacci; Coppensia varicosa (Lindl.) Campacci; Oncidium euxanthinum Rchb.f.; Oncidium geraense Barb.Rodr.; Oncidium lunaeanum auct.; Oncidium rogersii Bateman; Oncidium varicosum Lindl.; Oncidium varicosum var. charlesworthii auct.; Oncidium varicosum var. concolor Cogn.; Oncidium varicosum var. lindenii auct.; Oncidium varicosum var. rogersii (Bateman) Rchb.f.; Oncidium varicosum var. southorangense Grey; Oncidium varicosum var. vexillarium Rchb.f. ex Kraenzl.; Oncidium vexillarium (Rchb.f. ex Kraenzl.) Königer; Oncidium vexillarium Rchb. f. ,"112, 168",NA,Sinotô (1969a),NA,
Oncidiinae Benth.,Gomesa flexuosa ,(Lodd.) M. W. Chase & N. H. Williams,Ampliglossum varicosum (Lindl.) Campacci; Coppensia varicosa (Lindl.) Campacci; Oncidium euxanthinum Rchb.f.; Oncidium geraense Barb.Rodr.; Oncidium lunaeanum auct.; Oncidium rogersii Bateman; Oncidium varicosum Lindl.; Oncidium varicosum var. charlesworthii auct.; Oncidium varicosum var. concolor Cogn.; Oncidium varicosum var. lindenii auct.; Oncidium varicosum var. rogersii (Bateman) Rchb.f.; Oncidium varicosum var. southorangense Grey; Oncidium varicosum var. vexillarium Rchb.f. ex Kraenzl.; Oncidium vexillarium (Rchb.f. ex Kraenzl.) Königer; Oncidium vexillarium Rchb. f. ,56,NA,Charanasri & Kamemoto (1975),NA,
Oncidiinae Benth.,Gomesa micropogon ,(Rchb.f.) M. W. Chase & N. H. Williams,Alatiglossum micropogon (Rchb.f.) Baptista; Oncidium dentatum Klotzsch; Oncidium macropetalum Klotzsch; Oncidium micropogon Rchb.f. ,56,NA,Charanasri & Kamemoto (1975),NA,
Oncidiinae Benth.,Gomesa radicans ,(Rchb.f.) M. W. Chase & N. H. Williams,Ornithophora quadricolor Barb.Rodr.; Ornithophora radicans (Rchb.f.) Garay & Pabst; Sigmatostalix radicans Rchb.f. ,56,NA,Charanasri & Kamemoto (1975),NA,
Oncidiinae Benth.,Gomesa radicans ,(Rchb.f.) M. W. Chase & N. H. Williams,Ornithophora quadricolor Barb.Rodr.; Ornithophora radicans (Rchb.f.) Garay & Pabst; Sigmatostalix radicans Rchb.f. ,60,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Gomesa crispa ,(Lindl.) Klotzsch ex Rchb.,Gomesa undulata Hoffmanns.; Odontoglossum crispatulum Rchb.f.; Rodriguezia crispa Lindl. ,56,NA,Charanasri & Kamemoto (1973),NA,
Oncidiinae Benth.,Gomesa sarcodes ,(Lindl.) M. W. Chase & N. H. Williams,Anettea sarcodes (Lindl.) Szlach. & Mytnik; Baptistonia sarcodes (Lindl.) Chiron & V.P.Castro; Oncidium rigbyanum Paxton; Oncidium sarcodes Lindl.,56,NA,Charanasri & Kamemoto (1973),NA,
Oncidiinae Benth.,Gomesa ciliata ,(Lindl.) M. W. Chase & N. H. Williams,Alatiglossum ciliatum (Lindl.) Baptista; Alatiglossum psyche (Schltr.) Baptista; Alatiglossum trichodes (Lindl.) Baptista; Gomesa psyche (Schltr.) M.W.Chase & N.H.Williams; Gomesa trichodes (Lindl.) M.W.Chase & N.H.Williams; Oncidium bahiense (Cogn.) Schltr.; Oncidium barbatum Lindl. & Paxton; Oncidium barbatum var. ciliatum (Lindl.) Lindl.; Oncidium blossfeldianum Schltr.; Oncidium ciliatum Lindl.; Oncidium ciliolatum Hoffmanns.; Oncidium fimbriatum Hoffmanns.; Oncidium micropogon var. bahiense Cogn.; Oncidium psyche Schltr.; Oncidium reisii Hoehne & Schltr.; Oncidium subciliatum Hoffmanns.; Oncidium trichodes Lindl. ,56,NA,Blumenschein 1960,NA,
Oncidiinae Benth.,Gomesa flexuosa,(Lodd.) M. W. Chase & N. H. Williams,Ampliglossum flexuosum (Lodd.) Campacci; Coppensia flexuosa (Lodd.) Campacci; Epidendrum lineatum Vell.; Gomesa megaloptera (Kraenzl.) M.W.Chase & N.H.Williams; Oncidium flexuosum Lodd.; Oncidium flexuosum var. radiatum Rchb.f.; Oncidium haematochrysum Rchb.f.; Oncidium haematoxanthum Rchb.f. ex Lindl.; Oncidium megalopterum Kraenzl. ,56,NA,"Charanasri & Kamemoto (1975), Dodson (1958)",NA,
Oncidiinae Benth.,Gomesa sarcodes,(Lindl.) M. W. Chase & N. H. Williams,Anettea sarcodes (Lindl.) Szlach. & Mytnik; Baptistonia sarcodes (Lindl.) Chiron & V.P.Castro; Oncidium rigbyanum Paxton; Oncidium sarcodes Lindl. ,56,NA,Dodson (1958),NA,
Oncidiinae Benth.,Gomesa gardneri ,(Lindl.) M. W. Chase & N. H. Williams,Ampliglossum brunnipetalum (Barb.Rodr.) Campacci; Anettea curta (Lindl.) Szlach. & Mytnik; Anettea gardneri (Lindl.) Szlach. & Mytnik; Brasilidium curtum (Lindl.) Campacci; Brasilidium gardneri (Lindl.) Campacci; Coppensia brunnipetala (Barb.Rodr.) Campacci; Gomesa brunnipetala (Barb.Rodr.) M.W.Chase & N.H.Williams; Gomesa curta (Lindl.) M.W.Chase & N.H.Williams; Gomesa wheatleyana (Gower) M.W.Chase & N.H.Williams; Oncidium brunnipetalum Barb.Rodr.; Oncidium caloglossum Rchb.f.; Oncidium curtum Lindl.; Oncidium elegantissimum Rchb.f.; Oncidium flabelliferum Pinel; Oncidium gardneri Lindl.; Oncidium gardneri subsp. caloglossum (Rchb.f.) Fowlie; Oncidium gardneri var. elegantissimum (Rchb.f.) Cogn.; Oncidium gardneri var. pollettianum (Rchb.f.) Cogn.; Oncidium gardneri var. praestans (Rchb.f.) Cogn.; Oncidium gardnerianum auct.; Oncidium larkinianum Gower; Oncidium pectorale var. caloglossum (Rchb.f.) Cogn.; Oncidium pectorale var. larkinianum (Gower) Cogn.; Oncidium pollettianum Rchb.f.; Oncidium praestans Rchb.f.; Oncidium wheatleyanum Gower ,52,NA,Chardard (1963),NA,
Oncidiinae Benth.,Genus Ionopsis Kunth (6 species),,,,,,,
Oncidiinae Benth.,Ionopsis utricularioides, (Sw.) Lindl.,Cybelion pallidiflorum (Hook.) Spreng.; Cybelion pulchellum (Kunth) Spreng.; Cybelion tenerum (Lindl.) Steud.; Cybelion utriculariae Spreng.; Dendrobium utricularioides (Sw.) Sw.; Epidendrum calcaratum Sessé & Moc.; Epidendrum crenatum Vell.; Epidendrum paniculatum (Lindl.) Rchb.f.; Epidendrum sessei Hoehne; Epidendrum utricularioides Sw.; Iantha pallidiflora Hook.; Ionopsis gardneri Lindl.; Ionopsis pallidiflora (Hook.) Lindl.; Ionopsis paniculata Lindl.; Ionopsis paniculata var. maxima L.Linden & Rodigas; Ionopsis pulchella Kunth; Ionopsis tenera Lindl.; Ionopsis tenera var. effusa Lindl.; Ionopsis tenera var. tomentosa Lindl.; Ionopsis tenera var. violacea Lindl.; Ionopsis utricularioides f. latifolia Urb.; Ionopsis utricularioides f. virginalis (L.C.Menezes) Christenson; Ionopsis utricularioides var. angustifolia Cogn.; Ionopsis utricularioides var. parviflora Schltr.; Ionopsis utricularioides var. virginalis L.C.Menezes; Ionopsis zonalis Lindl.; Scaphyglottis pallidiflora (Hook.) Lindl.,46,NA,Blumenschein (1957),NA,
Oncidiinae Benth.,Ionopsis utricularioides, (Sw.) Lindl.,Cybelion pallidiflorum (Hook.) Spreng.; Cybelion pulchellum (Kunth) Spreng.; Cybelion tenerum (Lindl.) Steud.; Cybelion utriculariae Spreng.; Dendrobium utricularioides (Sw.) Sw.; Epidendrum calcaratum Sessé & Moc.; Epidendrum crenatum Vell.; Epidendrum paniculatum (Lindl.) Rchb.f.; Epidendrum sessei Hoehne; Epidendrum utricularioides Sw.; Iantha pallidiflora Hook.; Ionopsis gardneri Lindl.; Ionopsis pallidiflora (Hook.) Lindl.; Ionopsis paniculata Lindl.; Ionopsis paniculata var. maxima L.Linden & Rodigas; Ionopsis pulchella Kunth; Ionopsis tenera Lindl.; Ionopsis tenera var. effusa Lindl.; Ionopsis tenera var. tomentosa Lindl.; Ionopsis tenera var. violacea Lindl.; Ionopsis utricularioides f. latifolia Urb.; Ionopsis utricularioides f. virginalis (L.C.Menezes) Christenson; Ionopsis utricularioides var. angustifolia Cogn.; Ionopsis utricularioides var. parviflora Schltr.; Ionopsis utricularioides var. virginalis L.C.Menezes; Ionopsis zonalis Lindl.; Scaphyglottis pallidiflora (Hook.) Lindl.,46,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Genus Macradenia R. Br. (11 species),,,,,,,
Oncidiinae Benth.,Macradenia brassavolae ,Rchb.f.,Macradenia brassavolae var. albiflora Senghas & Seeger; Macradenia modesta (Rolfe) Rolfe; Serrastylis modesta Rolfe,48,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Macradenia paraensis,Barb.Rodr.,,52,NA,Blumenschein (1957),NA,
Oncidiinae Benth.,Macradenia paraensis,Barb.Rodr.,,52,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Genus Macroclinium Barb. Rodr. (42 species),,,,,,,
Oncidiinae Benth.,Macroclinium bicolor ,(Lindl.) Dodson,Notylia bicolor Lindl. ,42,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Genus Miltonia Lindl. (19 species),,,,,,,
Oncidiinae Benth.,Miltonia phymatochila,(Lindl.) N. H. Williams & M. W. Chase,Oncidium phymatochilum Lindl.; Phymatochilum brasiliense Christenson ,56,NA,Sinotô (1969a),5.73,Chase et al. (2005)
Oncidiinae Benth.,Miltoniopsis roezlii,(Rchb.f.) God.-Leb.,Miltonia roezlii (Rchb.f.) G.Nicholson; Miltoniopsis roezlii var. alba (W.Bull ex W.G.Sm.) Lückel; Miltoniopsis santanae Garay & Dunst.; Odontoglossum roezlii Rchb.f.; Odontoglossum roezlii var. alba W.Bull ex W.G.Sm.; Odontoglossum roezlii var. album W. Bull ex W.G. Sm. ,56,NA,Charanasri & Kamemoto (1975),NA,
Oncidiinae Benth.,Miltonia flavescens,(Lindl.) Lindl.,"Cyrtochilum flavescens Lindl.; Cyrtochilum stellatum Lindl.; Irenea flavescens (Lindl.) Szlach., Mytnik, Górniak & Romowicz; Miltonia flavescens var. grandiflora Regel; Miltonia flavescens var. stellata (Lindl.) Regel; Miltonia loddigesii Regel; Miltonia stellata (Lindl.) Lindl.; Oncidium flavescens (Lindl.) Rchb.f.; Oncidium flavescens var. stellatum (Lindl.) Rchb.f.; Oncidium stellatum (Lindl.) Beer ",60,NA,Charanasri & Kamemoto (1973),NA,
Oncidiinae Benth.,Miltonia regnellii,Rchb.f.,Miltonia cereola Lem.; Miltonia regnellii f. alba (Tessmer) Roeth; Miltonia regnellii f. citrina (Cogn.) Roeth; Miltonia regnellii f. purpurea (Dombrain) M.Wolff & O.Gruss; Miltonia regnellii f. travassosiana (Cogn.) Roeth; Miltonia regnellii f. veitchiana (Cogn.) Roeth; Miltonia regnellii var. alba Tessmer; Miltonia regnellii var. citrina Cogn.; Miltonia regnellii var. travassosiana Cogn.; Miltonia regnellii var. veitchiana Cogn.; Oncidium regnellii (Rchb.f.) Rchb.f. ,48,NA,Shimoya (1956),4.70,Chase et al. (2005)
Oncidiinae Benth.,Miltonia regnellii,Rchb.f.,Miltonia cereola Lem.; Miltonia regnellii f. alba (Tessmer) Roeth; Miltonia regnellii f. citrina (Cogn.) Roeth; Miltonia regnellii f. purpurea (Dombrain) M.Wolff & O.Gruss; Miltonia regnellii f. travassosiana (Cogn.) Roeth; Miltonia regnellii f. veitchiana (Cogn.) Roeth; Miltonia regnellii var. alba Tessmer; Miltonia regnellii var. citrina Cogn.; Miltonia regnellii var. travassosiana Cogn.; Miltonia regnellii var. veitchiana Cogn.; Oncidium regnellii (Rchb.f.) Rchb.f. ,60,NA,Sinotô (1962),4.70,Chase et al. (2005)
Oncidiinae Benth.,Miltonia × bluntii,Rchb.f.,Miltonia × peetersiana Rchb.f.; Oncidium × bluntii Rchb.f. ,60,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Miltonia × cyrtochiloides,Barb.Rodr.,Miltonia × festiva G.Nicholson ,59,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Miltonia flavescens,(Lindl.) Lindl.,"Cyrtochilum flavescens Lindl.; Cyrtochilum stellatum Lindl.; Irenea flavescens (Lindl.) Szlach., Mytnik, Górniak & Romowicz; Miltonia flavescens var. grandiflora Regel; Miltonia flavescens var. stellata (Lindl.) Regel; Miltonia loddigesii Regel; Miltonia stellata (Lindl.) Lindl.; Oncidium flavescens (Lindl.) Rchb.f.; Oncidium flavescens var. stellatum (Lindl.) Rchb.f.; Oncidium stellatum (Lindl.) Beer ",60,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Miltonia spectabilis,Lindl.,Macrochilus fryanus Knowles & Westc.; Miltonia bicolor Lodd. ex F.Buyss.; Miltonia spectabilis var. aspersa Rchb.f.; Miltonia spectabilis var. bicolor G.Nicholson; Miltonia spectabilis var. lineata L.Linden & Rodigas; Miltonia spectabilis var. porphyroglossa Rchb.f.; Miltonia spectabilis var. radians Rchb.f.; Miltonia spectabilis var. rosea auct.; Miltonia spectabilis var. virginalis Lem.; Oncidium spectabile (Lindl.) Beer ,"56, 60",NA,Sinotô (1962),NA,
Oncidiinae Benth.,Miltonia moreliana,A. Rich.,Miltonia rosea Verschaff. ex Lem.; Miltonia spectabilis var. atrorubens Rolfe; Miltonia spectabilis var. moreliana (A.Rich.) Henfr.; Miltonia warneri G.Nicholson ,86,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Miltoniopsis vescillaria,(Rchb.f.) God.-Leb.,Miltonia vexillaria (Rchb.f.) G.Nicholson; Miltonia vexillaria var. leopoldii A.H.Kent; Miltonia vexillaria var. rubella A.H.Kent; Miltonia vexillaria var. stupenda A.H.Kent; Odontoglossum vexillarium Rchb.f.; Odontoglossum vexillarium var. lehmannii Rchb.f.; Odontoglossum vexillarium var. purpureum L.Linden & Rodigas; Odontoglossum vexillarium var. superbum Rchb.f. ,60,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Miltonia clowesii,(Lindl.) Lindl.,Brassia clowesii (Lindl.) Lindl.; Miltonia clowesii var. lamarcheana E.Morren; Odontoglossum clowesii Lindl.; Oncidium clowesii (Lindl.) Rchb.f. ,,NA,,3.80,Chase et al. (2005)
Oncidiinae Benth.,Miltonia regnellii ,Rchb.f.,Miltonia cereola Lem.; Miltonia regnellii f. alba (Tessmer) Roeth; Miltonia regnellii f. citrina (Cogn.) Roeth; Miltonia regnellii f. purpurea (Dombrain) M.Wolff & O.Gruss; Miltonia regnellii f. travassosiana (Cogn.) Roeth;Miltonia regnellii f. veitchiana (Cogn.) Roeth; Miltonia regnellii var. alba Tessmer; Miltonia regnellii var. citrina Cogn.; Miltonia regnellii var. travassosiana Cogn.; Miltonia regnellii var. veitchiana Cogn.; Oncidium regnellii (Rchb.f.) Rchb.f. ,,NA,,4.70,Chase et al. (2005)
Oncidiinae Benth.,Genus Notylia Lindl. (56 species),,,,,,,
Oncidiinae Benth.,Notylia panamensis ,Ames,,42,NA,Sinotô (1962),NA,
Oncidiinae Benth.,Notylia barkeri, Lindl.,,42,NA,Albert et al. (1992),1.10,Chase et al. (2005)
Oncidiinae Benth.,Genus Oncidium Sw. (341 species),,,,,,,
Oncidiinae Benth.,Oncidium spectatissimum ,(Lindl.) M.W.Chase & N.H.Williams,Odontoglossum spectatissimum Lindl.; Odontoglossum spectatissimum var. cinctum (Rchb.f.) Bockemühl; Odontoglossum triumphans Rchb.f. & Warsz.; Odontoglossum triumphans var. aureum B.S.Williams; Odontoglossum triumphans var. cinctum Rchb.f. ,NA,NA,,4.30,Chase et al. (2005)
Oncidiinae Benth.,Oncidium wyattianum,(A.G.Wilson) M.W.Chase & N.H.Williams,Odontoglossum wyattianum Gurney Wilson ,NA,NA,,3.95,Chase et al. (2005)
Oncidiinae Benth.,Oncidium noezlianum ,(Mast.) M.W.Chase & N.H.Williams,Cochlioda densiflora Lindl.; Cochlioda densiflora f. aurea Roeth & O.Gruss; Cochlioda noezliana (Mast.) Rolfe; Cochlioda noezliana var. superba L.Linden; Mesospinidium densiflorum (Lindl.) Rchb.f.; Odontoglossum cochlioda Rchb.f.; Odontoglossum noezlianum Mast.; Oncidium densiflorum (Lindl.) M.W.Chase & N.H.Williams ,56,NA,Hamatani et al. (2004)		,3.48,Chase et al. (2005)
Oncidiinae Benth.,Oncidium planilabre,Lindl.,Oncidium aloisii Schltr.; Oncidium bidentatum Rolfe; Oncidium calobulbon Linden & Rchb.f.; Oncidium hirundo Rchb.f.; Oncidium pardothyrsus Rchb.f. & Warsz.; Oncidium subobscurum Kraenzl. ,NA,NA,,3.05,Chase et al. (2005)
Oncidiinae Benth.,Oncidium ansiferum,Rchb.f.,Oncidium delumbe Lindl.; Oncidium lankesteri Ames; Oncidium naranjense Schltr.; Oncidium tenue var. grandiflorum Lindl. ,56,NA,Sinotô (1969a),3.15,Chase et al. (2005)
Oncidiinae Benth.,Oncidium ansiferum,Rchb.f.,Oncidium delumbe Lindl.; Oncidium lankesteri Ames; Oncidium naranjense Schltr.; Oncidium tenue var. grandiflorum Lindl. ,56,NA,Hanson et al. (1999),3.15,Chase et al. (2005)
Oncidiinae Benth.,Oncidium baueri,Lindl.,Epidendrum floridum Vell.; Oncidium advena Rchb.f.; Oncidium altissimum Lindl.; Oncidium altissimum var. baueri (Lindl.) Stein; Oncidium bicameratum Rchb.f. ex Kraenzl.; Oncidium bolivianum Schltr.; Oncidium buchtienii Schltr.; Oncidium hannelorae Nir; Oncidium hebraicum Rchb.f.; Oncidium kappleri Rchb.f. ex Lindl.; Oncidium multiflorum Soysa; Oncidium peliogramma Linden & Rchb.f.; Oncidium pentecostale Rchb.f.; Oncidium platyglossum Rchb.f. ex Linden; Oncidium schmidtianum Rchb.f.; Oncidium wydleri Rchb.f.; Vitekorchis buchtienii (Schltr.) Romowicz & Szlach. ,56,NA,Sinotô (1969a),4.48,Chase et al. (2005)
Oncidiinae Benth.,Oncidium baueri,Lindl.,Epidendrum floridum Vell.; Oncidium advena Rchb.f.; Oncidium altissimum Lindl.; Oncidium altissimum var. baueri (Lindl.) Stein; Oncidium bicameratum Rchb.f. ex Kraenzl.; Oncidium bolivianum Schltr.; Oncidium buchtienii Schltr.; Oncidium hannelorae Nir; Oncidium hebraicum Rchb.f.; Oncidium kappleri Rchb.f. ex Lindl.; Oncidium multiflorum Soysa; Oncidium peliogramma Linden & Rchb.f.; Oncidium pentecostale Rchb.f.; Oncidium platyglossum Rchb.f. ex Linden; Oncidium schmidtianum Rchb.f.; Oncidium wydleri Rchb.f.; Vitekorchis buchtienii (Schltr.) Romowicz & Szlach. ,56,NA,Charanasri & Kamemoto (1973),4.48,Chase et al. (2005)
Oncidiinae Benth.,Oncidium baueri,Lindl.,Epidendrum floridum Vell.; Oncidium advena Rchb.f.; Oncidium altissimum Lindl.; Oncidium altissimum var. baueri (Lindl.) Stein; Oncidium bicameratum Rchb.f. ex Kraenzl.; Oncidium bolivianum Schltr.; Oncidium buchtienii Schltr.; Oncidium hannelorae Nir; Oncidium hebraicum Rchb.f.; Oncidium kappleri Rchb.f. ex Lindl.; Oncidium multiflorum Soysa; Oncidium peliogramma Linden & Rchb.f.; Oncidium pentecostale Rchb.f.; Oncidium platyglossum Rchb.f. ex Linden; Oncidium schmidtianum Rchb.f.; Oncidium wydleri Rchb.f.; Vitekorchis buchtienii (Schltr.) Romowicz & Szlach. ,56,NA,Hanson et al. (1999),4.48,Chase et al. (2005)
